status,reason,model,language,condition,eer,min_dcf,accuracy,precision,recall,f1,roc_auc
COMPLETE,from_baseline_v1_artifacts,acoustic_aasist_v1,all,clean,0.0563,0.7223,0.9521,,,0.9485,0.9735
COMPLETE,from_baseline_v1_artifacts,acoustic_aasist_v1,all,opus_whatsapp_sim,0.0758,0.7803,0.9212,,,0.917,0.9735
